timestamp,value,bucket,day
2024-12-17 00:00:00,bed,1_4_13,2024-12-17
2024-12-17 00:01:01,bed,1_4_13,2024-12-17
2024-12-17 00:02:08,bed,1_4_13,2024-12-17
2024-12-17 00:03:24,bed,1_4_13,2024-12-17
2024-12-17 00:04:44,bed,1_4_13,2024-12-17
2024-12-17 00:05:48,bed,1_4_13,2024-12-17
2024-12-17 00:06:48,bed,1_4_13,2024-12-17
2024-12-17 00:07:49,bed,1_4_13,2024-12-17
2024-12-17 00:08:53,bed,1_4_13,2024-12-17
2024-12-17 00:09:57,bed,1_4_13,2024-12-17
2024-12-17 00:11:03,bed,1_4_13,2024-12-17
2024-12-17 00:12:16,bed,1_4_13,2024-12-17
2024-12-17 00:13:27,bed,1_4_13,2024-12-17
2024-12-17 00:14:34,bed,1_4_13,2024-12-17
2024-12-17 00:15:51,bed,1_4_13,2024-12-17
2024-12-17 00:17:00,bed,1_4_13,2024-12-17
2024-12-17 00:18:15,bed,1_4_13,2024-12-17
2024-12-17 00:19:20,bed,1_4_13,2024-12-17
2024-12-17 00:20:39,bed,1_4_13,2024-12-17
2024-12-17 00:21:42,bed,1_4_13,2024-12-17
2024-12-17 00:22:52,bed,1_4_13,2024-12-17
2024-12-17 00:23:57,bed,1_4_13,2024-12-17
2024-12-17 00:25:04,bed,1_4_13,2024-12-17
2024-12-17 00:26:13,bed,1_4_13,2024-12-17
2024-12-17 00:27:21,bed,1_4_13,2024-12-17
2024-12-17 00:28:31,bed,1_4_13,2024-12-17
2024-12-17 00:29:51,bed,1_4_13,2024-12-17
2024-12-17 00:30:54,bed,1_4_13,2024-12-17
2024-12-17 00:32:03,bed,1_4_13,2024-12-17
2024-12-17 00:33:07,bed,1_4_13,2024-12-17
2024-12-17 00:34:17,bed,1_4_13,2024-12-17
2024-12-17 00:35:36,bed,1_4_13,2024-12-17
2024-12-17 00:36:51,bed,1_4_13,2024-12-17
2024-12-17 00:38:09,bed,1_4_13,2024-12-17
2024-12-17 00:39:10,bed,1_4_13,2024-12-17
2024-12-17 00:40:30,bed,1_4_13,2024-12-17
