timestamp,bucket,_measurement,_field,value,voltage
2025-01-07T00:00:00,1_2_7,battery,soc,70.56,3.74
2025-01-07T00:00:00,1_3_10,battery,soc,71.34,3.92
2025-01-07T00:01:27,1_2_7,battery,soc,70.52,3.81
2025-01-07T00:01:27,1_3_10,battery,soc,71.29,3.86
2025-01-07T00:02:32,1_2_7,battery,soc,70.48,3.94
2025-01-07T00:02:32,1_3_10,battery,soc,71.27,3.83
2025-01-07T00:03:47,1_2_7,battery,soc,70.46,3.82
2025-01-07T00:03:47,1_3_10,battery,soc,71.23,3.86
2025-01-07T00:05:13,1_2_7,battery,soc,70.42,3.93
2025-01-07T00:05:13,1_3_10,battery,soc,71.19,3.75
2025-01-07T00:06:35,1_2_7,battery,soc,70.38,3.7
2025-01-07T00:06:35,1_3_10,battery,soc,71.16,3.8
2025-01-07T00:07:44,1_2_7,battery,soc,70.34,3.71
2025-01-07T00:07:44,1_3_10,battery,soc,71.14,3.89
2025-01-07T00:09:03,1_2_7,battery,soc,70.33,3.82
2025-01-07T00:09:03,1_3_10,battery,soc,71.09,3.94
2025-01-07T00:10:33,1_2_7,battery,soc,70.29,3.93
2025-01-07T00:10:33,1_3_10,battery,soc,71.06,3.85
2025-01-07T00:11:50,1_2_7,battery,soc,70.25,3.92
2025-01-07T00:11:50,1_3_10,battery,soc,71.05,3.79
2025-01-07T00:12:59,1_2_7,battery,soc,70.22,3.73
2025-01-07T00:12:59,1_3_10,battery,soc,71.02,3.88
2025-01-07T00:14:13,1_2_7,battery,soc,70.2,3.81
2025-01-07T00:14:13,1_3_10,battery,soc,70.98,3.8
2025-01-07T00:15:23,1_2_7,battery,soc,70.15,3.77
2025-01-07T00:15:23,1_3_10,battery,soc,70.97,3.91
2025-01-07T00:16:25,1_2_7,battery,soc,70.11,3.77
2025-01-07T00:16:25,1_3_10,battery,soc,70.93,3.82
2025-01-07T00:17:51,1_2_7,battery,soc,70.07,3.88
2025-01-07T00:17:51,1_3_10,battery,soc,70.92,3.7
2025-01-07T00:19:19,1_2_7,battery,soc,70.05,3.77
2025-01-07T00:19:19,1_3_10,battery,soc,70.88,3.78
2025-01-07T00:20:44,1_2_7,battery,soc,70.03,3.9
2025-01-07T00:20:44,1_3_10,battery,soc,70.84,3.9
2025-01-07T00:22:02,1_2_7,battery,soc,70.0,3.71
2025-01-07T00:22:02,1_3_10,battery,soc,70.83,3.9
2025-01-07T00:23:08,1_2_7,battery,soc,69.97,3.86
2025-01-07T00:23:08,1_3_10,battery,soc,70.79,4.0
2025-01-07T00:24:15,1_2_7,battery,soc,69.95,3.88
2025-01-07T00:24:15,1_3_10,battery,soc,70.76,3.84
2025-01-07T00:25:23,1_2_7,battery,soc,69.91,3.9
2025-01-07T00:25:23,1_3_10,battery,soc,70.73,3.71
2025-01-07T00:26:41,1_2_7,battery,soc,69.89,3.96
2025-01-07T00:26:41,1_3_10,battery,soc,70.71,3.8
2025-01-07T00:27:56,1_2_7,battery,soc,69.88,3.75
2025-01-07T00:27:56,1_3_10,battery,soc,70.69,3.76
2025-01-07T00:29:08,1_2_7,battery,soc,69.83,3.72
2025-01-07T00:29:08,1_3_10,battery,soc,70.66,3.74
2025-01-07T00:30:26,1_2_7,battery,soc,69.79,3.79
2025-01-07T00:30:26,1_3_10,battery,soc,70.63,3.76
2025-01-07T00:31:47,1_2_7,battery,soc,69.75,3.98
2025-01-07T00:31:47,1_3_10,battery,soc,70.62,3.85
2025-01-07T00:33:10,1_2_7,battery,soc,69.71,3.87
2025-01-07T00:33:10,1_3_10,battery,soc,70.58,3.76
2025-01-07T00:34:35,1_2_7,battery,soc,69.67,3.91
2025-01-07T00:34:35,1_3_10,battery,soc,70.57,4.0
2025-01-07T00:35:51,1_2_7,battery,soc,69.66,3.94
2025-01-07T00:35:51,1_3_10,battery,soc,70.53,3.94
2025-01-07T00:37:04,1_2_7,battery,soc,69.64,3.98
