timestamp,value,bucket,day
2025-01-13 00:00:00,bed,1_4_13,2025-01-13
2025-01-13 00:01:15,bed,1_4_13,2025-01-13
2025-01-13 00:02:28,bed,1_4_13,2025-01-13
2025-01-13 00:03:46,bed,1_4_13,2025-01-13
2025-01-13 00:04:49,bed,1_4_13,2025-01-13
2025-01-13 00:05:58,bed,1_4_13,2025-01-13
2025-01-13 00:07:01,bed,1_4_13,2025-01-13
2025-01-13 00:08:08,bed,1_4_13,2025-01-13
2025-01-13 00:09:16,bed,1_4_13,2025-01-13
2025-01-13 00:10:22,bed,1_4_13,2025-01-13
2025-01-13 00:11:23,bed,1_4_13,2025-01-13
2025-01-13 00:12:29,bed,1_4_13,2025-01-13
2025-01-13 00:13:34,bed,1_4_13,2025-01-13
2025-01-13 00:14:51,bed,1_4_13,2025-01-13
2025-01-13 00:16:06,bed,1_4_13,2025-01-13
2025-01-13 00:17:10,bed,1_4_13,2025-01-13
2025-01-13 00:18:11,bed,1_4_13,2025-01-13
2025-01-13 00:19:29,bed,1_4_13,2025-01-13
2025-01-13 00:20:40,bed,1_4_13,2025-01-13
2025-01-13 00:21:43,bed,1_4_13,2025-01-13
2025-01-13 00:22:56,bed,1_4_13,2025-01-13
2025-01-13 00:23:59,bed,1_4_13,2025-01-13
2025-01-13 00:25:10,bed,1_4_13,2025-01-13
2025-01-13 00:26:12,bed,1_4_13,2025-01-13
2025-01-13 00:27:13,bed,1_4_13,2025-01-13
2025-01-13 00:28:18,bed,1_4_13,2025-01-13
2025-01-13 00:29:20,bed,1_4_13,2025-01-13
2025-01-13 00:30:20,bed,1_4_13,2025-01-13
2025-01-13 00:31:24,bed,1_4_13,2025-01-13
2025-01-13 00:32:31,bed,1_4_13,2025-01-13
2025-01-13 00:33:34,bed,1_4_13,2025-01-13
2025-01-13 00:34:49,bed,1_4_13,2025-01-13
2025-01-13 00:35:51,bed,1_4_13,2025-01-13
2025-01-13 00:37:09,bed,1_4_13,2025-01-13
2025-01-13 00:38:29,bed,1_4_13,2025-01-13
2025-01-13 00:39:44,bed,1_4_13,2025-01-13
2025-01-13 00:40:49,bed,1_4_13,2025-01-13
2025-01-13 00:42:07,bed,1_4_13,2025-01-13
2025-01-13 00:43:23,bed,1_4_13,2025-01-13
2025-01-13 00:44:33,bed,1_4_13,2025-01-13
2025-01-13 00:45:52,bed,1_4_13,2025-01-13
2025-01-13 00:46:59,bed,1_4_13,2025-01-13
2025-01-13 00:47:59,bed,1_4_13,2025-01-13
2025-01-13 00:49:15,bed,1_4_13,2025-01-13
2025-01-13 00:50:34,bed,1_4_13,2025-01-13
2025-01-13 00:51:50,bed,1_4_13,2025-01-13
2025-01-13 00:52:58,bed,1_4_13,2025-01-13
2025-01-13 00:54:03,bed,1_4_13,2025-01-13
2025-01-13 00:55:06,bed,1_4_13,2025-01-13
2025-01-13 00:56:26,bed,1_4_13,2025-01-13
2025-01-13 00:57:33,bed,1_4_13,2025-01-13
2025-01-13 00:58:50,bed,1_4_13,2025-01-13
2025-01-13 01:00:00,bed,1_4_13,2025-01-13
2025-01-13 01:01:10,bed,1_4_13,2025-01-13
2025-01-13 01:02:12,bed,1_4_13,2025-01-13
2025-01-13 01:03:15,bed,1_4_13,2025-01-13
2025-01-13 01:04:20,bed,1_4_13,2025-01-13
2025-01-13 01:05:39,bed,1_4_13,2025-01-13
2025-01-13 01:06:58,bed,1_4_13,2025-01-13
2025-01-13 01:08:14,bed,1_4_13,2025-01-13
2025-01-13 01:09:30,bed,1_4_13,2025-01-13
2025-01-13 01:10:41,bed,1_4_13,2025-01-13
2025-01-13 01:11:41,bed,1_4_13,2025-01-13
2025-01-13 01:12:57,bed,1_4_13,2025-01-13
2025-01-13 01:14:12,bed,1_4_13,2025-01-13
2025-01-13 01:15:25,bed,1_4_13,2025-01-13
2025-01-13 01:16:39,bed,1_4_13,2025-01-13
2025-01-13 01:17:46,bed,1_4_13,2025-01-13
2025-01-13 01:18:54,bed,1_4_13,2025-01-13
2025-01-13 01:20:07,bed,1_4_13,2025-01-13
2025-01-13 01:21:09,bed,1_4_13,2025-01-13
2025-01-13 01:22:16,bed,1_4_13,2025-01-13
2025-01-13 01:23:31,bed,1_4_13,2025-01-13
2025-01-13 01:24:41,bed,1_4_13,2025-01-13
2025-01-13 01:25:59,bed,1_4_13,2025-01-13
2025-01-13 01:26:59,bed,1_4_13,2025-01-13
2025-01-13 01:28:08,bed,1_4_13,2025-01-13
2025-01-13 01:29:10,bed,1_4_13,2025-01-13
2025-01-13 01:30:22,bed,1_4_13,2025-01-13
2025-01-13 01:31:34,bed,1_4_13,2025-01-13
2025-01-13 01:32:34,bed,1_4_13,2025-01-13
2025-01-13 01:33:52,bed,1_4_13,2025-01-13
2025-01-13 01:34:56,bed,1_4_13,2025-01-13
2025-01-13 01:36:15,bed,1_4_13,2025-01-13
2025-01-13 01:37:33,bed,1_4_13,2025-01-13
2025-01-13 01:38:47,bed,1_4_13,2025-01-13
2025-01-13 01:39:59,bed,1_4_13,2025-01-13
2025-01-13 01:41:02,bed,1_4_13,2025-01-13
2025-01-13 01:42:02,bed,1_4_13,2025-01-13
2025-01-13 01:43:06,bed,1_4_13,2025-01-13
2025-01-13 01:44:25,bed,1_4_13,2025-01-13
2025-01-13 01:45:30,bed,1_4_13,2025-01-13
2025-01-13 01:46:40,bed,1_4_13,2025-01-13
